"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"19-May-2021","EQ","652.00","661.00","650.70","653.00","653.00","653.20","654.52","698.00","343.40","3,202,046","2,095,790,246.95","63,863"
"18-May-2021","EQ","658.00","658.00","648.00","653.30","653.00","653.00","653.39","698.00","343.40","2,267,368","1,481,475,830.60","40,423"
"17-May-2021","EQ","646.00","657.40","640.10","645.15","653.60","653.30","650.17","698.00","343.40","2,659,352","1,729,036,721.65","55,144"
"14-May-2021","EQ","640.50","649.50","638.05","640.05","644.50","645.15","644.90","698.00","343.40","2,927,148","1,887,722,393.60","57,042"
"12-May-2021","EQ","645.00","646.70","631.10","641.60","639.65","640.05","639.69","698.00","343.40","3,137,276","2,006,876,168.60","61,067"
"11-May-2021","EQ","628.00","649.90","625.00","633.15","640.20","641.60","642.09","698.00","343.40","4,619,231","2,965,979,835.30","80,391"
"10-May-2021","EQ","627.00","636.95","621.00","629.00","634.00","633.15","629.70","698.00","343.40","5,026,811","3,165,375,090.70","111,644"
"07-May-2021","EQ","636.00","642.00","614.00","653.10","629.95","629.00","625.35","698.00","325.65","14,598,653","9,129,303,863.85","284,858"
"06-May-2021","EQ","652.00","654.95","638.15","649.05","651.15","653.10","646.41","698.00","325.65","4,000,163","2,585,739,332.30","107,512"
"05-May-2021","EQ","649.00","656.00","640.05","645.25","652.00","649.05","648.11","698.00","325.65","3,332,318","2,159,694,886.25","72,439"
"04-May-2021","EQ","681.00","686.30","641.55","677.10","648.00","645.25","653.68","698.00","325.65","7,400,792","4,837,721,416.25","168,508"
"03-May-2021","EQ","661.85","682.50","661.00","669.50","679.55","677.10","676.12","698.00","325.65","1,985,777","1,342,624,179.40","38,632"
"30-Apr-2021","EQ","671.00","678.00","665.05","671.85","669.00","669.50","671.36","698.00","325.65","2,206,232","1,481,169,734.45","39,765"
"29-Apr-2021","EQ","678.35","680.45","666.00","677.15","672.25","671.85","671.57","698.00","325.65","3,247,095","2,180,636,998.65","68,121"
"28-Apr-2021","EQ","677.00","693.00","675.00","673.70","676.00","677.15","683.03","698.00","325.65","3,900,923","2,664,444,385.35","79,174"
"27-Apr-2021","EQ","674.95","679.90","668.10","670.20","674.20","673.70","673.19","698.00","325.65","2,258,769","1,520,590,998.55","44,696"
"26-Apr-2021","EQ","667.00","675.00","662.05","664.60","672.00","670.20","670.10","698.00","325.65","1,845,322","1,236,559,302.80","36,853"
"23-Apr-2021","EQ","667.00","675.70","661.00","665.50","665.90","664.60","668.72","698.00","310.00","2,329,094","1,557,503,552.05","42,170"
"22-Apr-2021","EQ","680.70","680.70","663.00","680.10","667.05","665.50","668.64","698.00","310.00","3,013,453","2,014,905,207.20","65,775"
"20-Apr-2021","EQ","677.35","698.00","666.30","664.10","678.00","680.10","685.13","698.00","310.00","8,230,341","5,638,841,912.70","139,886"
"19-Apr-2021","EQ","662.00","668.80","651.50","671.30","664.40","664.10","659.85","685.00","310.00","2,620,095","1,728,882,225.40","52,197"
"16-Apr-2021","EQ","662.80","676.55","660.30","659.30","668.95","671.30","670.73","685.00","301.10","2,708,331","1,816,563,984.85","47,686"
"15-Apr-2021","EQ","662.80","674.00","647.15","663.95","660.50","659.30","658.30","685.00","301.10","3,193,956","2,102,592,260.95","55,675"
