"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"20-Apr-2023","EQ","1,855.00","1,878.90","1,836.85","1,853.85","1,846.00","1,842.90","1,853.80","4,190.00","1,017.45","2,016,823","3,738,787,276.00","75,110"
"19-Apr-2023","EQ","1,847.00","1,877.70","1,835.00","1,850.95","1,851.00","1,853.85","1,857.49","4,190.00","1,017.45","2,455,884","4,561,782,022.40","95,034"
"18-Apr-2023","EQ","1,892.00","1,902.75","1,830.00","1,878.75","1,844.90","1,850.95","1,864.10","4,190.00","1,017.45","2,542,401","4,739,293,431.60","103,734"
"17-Apr-2023","EQ","1,870.75","1,904.90","1,847.00","1,870.75","1,878.45","1,878.75","1,877.52","4,190.00","1,017.45","2,983,032","5,600,695,388.35","121,123"
"13-Apr-2023","EQ","1,855.00","1,885.00","1,826.05","1,847.25","1,869.50","1,870.75","1,858.75","4,190.00","1,017.45","3,402,280","6,323,988,503.30","126,886"
"12-Apr-2023","EQ","1,814.00","1,858.75","1,797.05","1,803.15","1,848.00","1,847.25","1,840.31","4,190.00","1,017.45","4,809,035","8,850,122,661.80","162,125"
